job_title,company,location,description,skills_list,date_posted
AI Engineer,Amazon,Mumbai,"Looking for a candidate with experience in PyTorch, React, Power BI, TensorFlow, Hadoop, Kubernetes, Python.","PyTorch, React, Power BI, TensorFlow, Hadoop, Kubernetes, Python",2023-10-10
Backend Developer,Capgemini,Pune,"Looking for a candidate with experience in Pandas, Kubernetes, PyTorch, NumPy, AWS, Hadoop, Machine Learning.","Pandas, Kubernetes, PyTorch, NumPy, AWS, Hadoop, Machine Learning",2024-09-09
Machine Learning Engineer,TCS,Hyderabad,"Looking for a candidate with experience in Kubernetes, PyTorch, Pandas, Tableau, NumPy.","Kubernetes, PyTorch, Pandas, Tableau, NumPy",2023-03-26
NLP Engineer,Amazon,Pune,"Looking for a candidate with experience in PyTorch, Kubernetes, Machine Learning, Deep Learning, Hadoop, Docker.","PyTorch, Kubernetes, Machine Learning, Deep Learning, Hadoop, Docker",2024-02-08
Full Stack Developer,Infosys,Mumbai,"Looking for a candidate with experience in Deep Learning, Java, Spark, Tableau, TensorFlow.","Deep Learning, Java, Spark, Tableau, TensorFlow",2023-05-09
Data Scientist,Adobe,Chennai,"Looking for a candidate with experience in Deep Learning, Pandas, Spark, Scikit-learn, Docker.","Deep Learning, Pandas, Spark, Scikit-learn, Docker",2024-02-24
DevOps Engineer,Meta,Pune,"Looking for a candidate with experience in Docker, Deep Learning, NLP, PyTorch.","Docker, Deep Learning, NLP, PyTorch",2023-07-08
NLP Engineer,Amazon,Pune,"Looking for a candidate with experience in AWS, Power BI, Machine Learning, Pandas.","AWS, Power BI, Machine Learning, Pandas",2023-10-18
DevOps Engineer,Capgemini,Pune,"Looking for a candidate with experience in Java, NLP, Tableau, Python, Scikit-learn, Spark.","Java, NLP, Tableau, Python, Scikit-learn, Spark",2023-04-18
Full Stack Developer,Amazon,Hyderabad,"Looking for a candidate with experience in NumPy, Node.js, Kubernetes, Machine Learning, Tableau.","NumPy, Node.js, Kubernetes, Machine Learning, Tableau",2023-12-02
Full Stack Developer,IBM,Delhi,"Looking for a candidate with experience in NLP, Machine Learning, SQL, React.","NLP, Machine Learning, SQL, React",2024-07-10
Backend Developer,TCS,Pune,"Looking for a candidate with experience in Power BI, Hadoop, Kubernetes, Scikit-learn, Docker, Python.","Power BI, Hadoop, Kubernetes, Scikit-learn, Docker, Python",2023-10-27
NLP Engineer,Infosys,Hyderabad,"Looking for a candidate with experience in Kubernetes, AWS, Java, NumPy, Pandas, React.","Kubernetes, AWS, Java, NumPy, Pandas, React",2024-08-17
Data Analyst,Infosys,Chennai,"Looking for a candidate with experience in React, Tableau, Hadoop, Deep Learning, SQL, Kubernetes.","React, Tableau, Hadoop, Deep Learning, SQL, Kubernetes",2023-08-14
Cloud Engineer,Capgemini,Bangalore,"Looking for a candidate with experience in TensorFlow, Docker, Node.js, Spark, SQL.","TensorFlow, Docker, Node.js, Spark, SQL",2023-11-02
Data Analyst,Google,Bangalore,"Looking for a candidate with experience in Python, NLP, NumPy, Hadoop, Pandas, Tableau.","Python, NLP, NumPy, Hadoop, Pandas, Tableau",2024-04-29
Full Stack Developer,Google,Hyderabad,"Looking for a candidate with experience in Deep Learning, PyTorch, NumPy, Hadoop.","Deep Learning, PyTorch, NumPy, Hadoop",2024-07-19
NLP Engineer,Google,Chennai,"Looking for a candidate with experience in NLP, Deep Learning, Java, SQL, Scikit-learn.","NLP, Deep Learning, Java, SQL, Scikit-learn",2024-05-07
Machine Learning Engineer,Flipkart,Hyderabad,"Looking for a candidate with experience in PyTorch, Spark, SQL, React, Pandas, Docker.","PyTorch, Spark, SQL, React, Pandas, Docker",2023-04-05
Data Analyst,Accenture,Mumbai,"Looking for a candidate with experience in AWS, Kubernetes, Tableau, Pandas, Python, TensorFlow.","AWS, Kubernetes, Tableau, Pandas, Python, TensorFlow",2024-05-14
AI Engineer,Meta,Bangalore,"Looking for a candidate with experience in Kubernetes, Hadoop, Tableau, Scikit-learn, Docker.","Kubernetes, Hadoop, Tableau, Scikit-learn, Docker",2023-11-27
Machine Learning Engineer,Infosys,Delhi,"Looking for a candidate with experience in Python, NLP, Spark, Deep Learning, Java, AWS, NumPy.","Python, NLP, Spark, Deep Learning, Java, AWS, NumPy",2024-02-16
Data Scientist,Capgemini,Delhi,"Looking for a candidate with experience in PyTorch, Python, TensorFlow, NumPy, SQL.","PyTorch, Python, TensorFlow, NumPy, SQL",2023-10-12
AI Engineer,Meta,Chennai,"Looking for a candidate with experience in PyTorch, React, Python, Docker, TensorFlow, Pandas, Deep Learning.","PyTorch, React, Python, Docker, TensorFlow, Pandas, Deep Learning",2024-03-13
Data Analyst,IBM,Mumbai,"Looking for a candidate with experience in TensorFlow, Node.js, React, Docker.","TensorFlow, Node.js, React, Docker",2024-08-14
Cloud Engineer,Microsoft,Delhi,"Looking for a candidate with experience in Python, Scikit-learn, Pandas, SQL.","Python, Scikit-learn, Pandas, SQL",2024-03-23
Software Engineer,Amazon,Pune,"Looking for a candidate with experience in Kubernetes, Docker, Python, Scikit-learn.","Kubernetes, Docker, Python, Scikit-learn",2023-02-21
Full Stack Developer,Accenture,Delhi,"Looking for a candidate with experience in Pandas, SQL, Hadoop, Spark, Node.js, Docker, NumPy.","Pandas, SQL, Hadoop, Spark, Node.js, Docker, NumPy",2024-03-21
AI Engineer,Accenture,Hyderabad,"Looking for a candidate with experience in Machine Learning, SQL, React, Tableau, AWS, Spark.","Machine Learning, SQL, React, Tableau, AWS, Spark",2024-11-20
Data Scientist,TCS,Delhi,"Looking for a candidate with experience in PyTorch, AWS, Power BI, Hadoop, Docker.","PyTorch, AWS, Power BI, Hadoop, Docker",2023-10-30
Data Scientist,Infosys,Hyderabad,"Looking for a candidate with experience in PyTorch, SQL, Java, NLP.","PyTorch, SQL, Java, NLP",2023-01-26
Cloud Engineer,Oracle,Delhi,"Looking for a candidate with experience in Node.js, PyTorch, Python, Kubernetes, TensorFlow.","Node.js, PyTorch, Python, Kubernetes, TensorFlow",2023-10-07
NLP Engineer,Flipkart,Chennai,"Looking for a candidate with experience in PyTorch, Machine Learning, Java, SQL.","PyTorch, Machine Learning, Java, SQL",2023-02-10
Cloud Engineer,Accenture,Delhi,"Looking for a candidate with experience in NLP, TensorFlow, Hadoop, Kubernetes, Scikit-learn, Python, PyTorch.","NLP, TensorFlow, Hadoop, Kubernetes, Scikit-learn, Python, PyTorch",2024-02-22
NLP Engineer,Microsoft,Chennai,"Looking for a candidate with experience in Scikit-learn, NLP, NumPy, SQL, Machine Learning.","Scikit-learn, NLP, NumPy, SQL, Machine Learning",2023-11-07
Data Scientist,TCS,Delhi,"Looking for a candidate with experience in React, Kubernetes, Pandas, Spark.","React, Kubernetes, Pandas, Spark",2024-09-05
NLP Engineer,Infosys,Bangalore,"Looking for a candidate with experience in Kubernetes, NumPy, Docker, Scikit-learn, Java, Machine Learning, Hadoop.","Kubernetes, NumPy, Docker, Scikit-learn, Java, Machine Learning, Hadoop",2023-04-25
Machine Learning Engineer,Flipkart,Bangalore,"Looking for a candidate with experience in Hadoop, Python, React, Machine Learning.","Hadoop, Python, React, Machine Learning",2024-08-09
DevOps Engineer,IBM,Mumbai,"Looking for a candidate with experience in Hadoop, Power BI, Machine Learning, PyTorch, Spark, TensorFlow.","Hadoop, Power BI, Machine Learning, PyTorch, Spark, TensorFlow",2023-08-23
Data Analyst,TCS,Chennai,"Looking for a candidate with experience in React, NLP, AWS, Power BI, TensorFlow, SQL, Scikit-learn.","React, NLP, AWS, Power BI, TensorFlow, SQL, Scikit-learn",2024-03-31
Software Engineer,Microsoft,Delhi,"Looking for a candidate with experience in NumPy, PyTorch, SQL, TensorFlow, Pandas, NLP.","NumPy, PyTorch, SQL, TensorFlow, Pandas, NLP",2023-07-30
Data Analyst,Infosys,Bangalore,"Looking for a candidate with experience in Hadoop, Power BI, Spark, Scikit-learn, NLP, AWS.","Hadoop, Power BI, Spark, Scikit-learn, NLP, AWS",2024-06-30
Cloud Engineer,Capgemini,Mumbai,"Looking for a candidate with experience in SQL, Node.js, AWS, TensorFlow, NLP.","SQL, Node.js, AWS, TensorFlow, NLP",2023-07-01
NLP Engineer,Flipkart,Mumbai,"Looking for a candidate with experience in TensorFlow, Spark, Hadoop, AWS, NumPy, Python, Java.","TensorFlow, Spark, Hadoop, AWS, NumPy, Python, Java",2024-09-19
Machine Learning Engineer,Capgemini,Delhi,"Looking for a candidate with experience in Python, PyTorch, React, Scikit-learn, Tableau.","Python, PyTorch, React, Scikit-learn, Tableau",2023-07-31
Backend Developer,Flipkart,Bangalore,"Looking for a candidate with experience in Java, Kubernetes, Tableau, AWS, TensorFlow, Pandas.","Java, Kubernetes, Tableau, AWS, TensorFlow, Pandas",2024-09-13
Machine Learning Engineer,Microsoft,Chennai,"Looking for a candidate with experience in Node.js, Deep Learning, Docker, Tableau, Java, AWS.","Node.js, Deep Learning, Docker, Tableau, Java, AWS",2024-10-13
NLP Engineer,Capgemini,Chennai,"Looking for a candidate with experience in Scikit-learn, TensorFlow, Kubernetes, Spark.","Scikit-learn, TensorFlow, Kubernetes, Spark",2024-07-27
DevOps Engineer,Meta,Mumbai,"Looking for a candidate with experience in Scikit-learn, AWS, Deep Learning, Spark, Kubernetes.","Scikit-learn, AWS, Deep Learning, Spark, Kubernetes",2024-09-21
Software Engineer,Accenture,Bangalore,"Looking for a candidate with experience in NLP, Machine Learning, Node.js, NumPy.","NLP, Machine Learning, Node.js, NumPy",2024-05-06
Machine Learning Engineer,Meta,Mumbai,"Looking for a candidate with experience in Python, AWS, PyTorch, TensorFlow, Machine Learning, Java, Hadoop.","Python, AWS, PyTorch, TensorFlow, Machine Learning, Java, Hadoop",2024-10-03
NLP Engineer,Infosys,Pune,"Looking for a candidate with experience in Deep Learning, PyTorch, TensorFlow, NLP, Scikit-learn, Kubernetes, NumPy.","Deep Learning, PyTorch, TensorFlow, NLP, Scikit-learn, Kubernetes, NumPy",2023-07-24
Machine Learning Engineer,Capgemini,Pune,"Looking for a candidate with experience in SQL, Pandas, React, Node.js, NumPy, Scikit-learn.","SQL, Pandas, React, Node.js, NumPy, Scikit-learn",2023-04-02
AI Engineer,IBM,Delhi,"Looking for a candidate with experience in Hadoop, Scikit-learn, Tableau, TensorFlow, Deep Learning.","Hadoop, Scikit-learn, Tableau, TensorFlow, Deep Learning",2024-10-08
NLP Engineer,Microsoft,Pune,"Looking for a candidate with experience in Pandas, Power BI, TensorFlow, AWS, NumPy.","Pandas, Power BI, TensorFlow, AWS, NumPy",2024-03-28
Data Analyst,Infosys,Bangalore,"Looking for a candidate with experience in SQL, Tableau, AWS, Scikit-learn, Deep Learning, Node.js.","SQL, Tableau, AWS, Scikit-learn, Deep Learning, Node.js",2023-11-23
AI Engineer,IBM,Chennai,"Looking for a candidate with experience in Power BI, Deep Learning, Node.js, TensorFlow.","Power BI, Deep Learning, Node.js, TensorFlow",2024-01-04
NLP Engineer,Meta,Delhi,"Looking for a candidate with experience in AWS, Machine Learning, React, Kubernetes.","AWS, Machine Learning, React, Kubernetes",2024-06-24
Full Stack Developer,Amazon,Pune,"Looking for a candidate with experience in Python, Scikit-learn, TensorFlow, Kubernetes, NumPy.","Python, Scikit-learn, TensorFlow, Kubernetes, NumPy",2024-05-12
Cloud Engineer,Amazon,Mumbai,"Looking for a candidate with experience in NLP, Docker, Node.js, NumPy, React, PyTorch.","NLP, Docker, Node.js, NumPy, React, PyTorch",2024-08-03
Data Scientist,Microsoft,Pune,"Looking for a candidate with experience in Tableau, Hadoop, Kubernetes, Java, NumPy, Node.js.","Tableau, Hadoop, Kubernetes, Java, NumPy, Node.js",2024-04-28
NLP Engineer,Accenture,Mumbai,"Looking for a candidate with experience in NLP, Docker, Kubernetes, PyTorch, TensorFlow.","NLP, Docker, Kubernetes, PyTorch, TensorFlow",2024-03-28
Cloud Engineer,IBM,Delhi,"Looking for a candidate with experience in Kubernetes, PyTorch, Python, React, NLP, TensorFlow.","Kubernetes, PyTorch, Python, React, NLP, TensorFlow",2023-07-23
Data Analyst,Oracle,Hyderabad,"Looking for a candidate with experience in React, NLP, Hadoop, NumPy.","React, NLP, Hadoop, NumPy",2023-03-03
NLP Engineer,TCS,Mumbai,"Looking for a candidate with experience in Kubernetes, React, NLP, NumPy, Node.js.","Kubernetes, React, NLP, NumPy, Node.js",2024-02-16
Software Engineer,Microsoft,Bangalore,"Looking for a candidate with experience in Node.js, PyTorch, Tableau, Python.","Node.js, PyTorch, Tableau, Python",2023-02-14
DevOps Engineer,Meta,Mumbai,"Looking for a candidate with experience in NumPy, Python, Docker, SQL, Power BI, Pandas, Hadoop.","NumPy, Python, Docker, SQL, Power BI, Pandas, Hadoop",2023-06-15
Machine Learning Engineer,Accenture,Mumbai,"Looking for a candidate with experience in AWS, Pandas, Node.js, Hadoop, Python.","AWS, Pandas, Node.js, Hadoop, Python",2023-01-13
DevOps Engineer,Google,Pune,"Looking for a candidate with experience in Docker, Power BI, Tableau, Kubernetes.","Docker, Power BI, Tableau, Kubernetes",2024-01-16
DevOps Engineer,Amazon,Delhi,"Looking for a candidate with experience in Spark, Power BI, Tableau, Java, PyTorch, Hadoop.","Spark, Power BI, Tableau, Java, PyTorch, Hadoop",2023-08-30
NLP Engineer,Oracle,Hyderabad,"Looking for a candidate with experience in Node.js, NumPy, SQL, Scikit-learn, Pandas.","Node.js, NumPy, SQL, Scikit-learn, Pandas",2024-10-29
Software Engineer,Google,Bangalore,"Looking for a candidate with experience in Spark, Kubernetes, SQL, React, Python, Java, Pandas.","Spark, Kubernetes, SQL, React, Python, Java, Pandas",2024-01-20
Data Analyst,Flipkart,Chennai,"Looking for a candidate with experience in Spark, NumPy, Node.js, Kubernetes, Python, PyTorch, TensorFlow.","Spark, NumPy, Node.js, Kubernetes, Python, PyTorch, TensorFlow",2024-09-08
Data Scientist,Adobe,Delhi,"Looking for a candidate with experience in Tableau, Python, PyTorch, TensorFlow, Scikit-learn.","Tableau, Python, PyTorch, TensorFlow, Scikit-learn",2023-05-27
Machine Learning Engineer,IBM,Bangalore,"Looking for a candidate with experience in TensorFlow, PyTorch, Hadoop, AWS, NumPy, NLP.","TensorFlow, PyTorch, Hadoop, AWS, NumPy, NLP",2023-04-15
Data Scientist,IBM,Hyderabad,"Looking for a candidate with experience in Power BI, React, Machine Learning, Hadoop, Pandas, Spark.","Power BI, React, Machine Learning, Hadoop, Pandas, Spark",2024-01-27
Cloud Engineer,TCS,Pune,"Looking for a candidate with experience in Node.js, SQL, Deep Learning, Hadoop, Docker.","Node.js, SQL, Deep Learning, Hadoop, Docker",2023-03-27
Cloud Engineer,Infosys,Bangalore,"Looking for a candidate with experience in Scikit-learn, Java, Deep Learning, React, NLP, Pandas, Power BI.","Scikit-learn, Java, Deep Learning, React, NLP, Pandas, Power BI",2023-03-28
Backend Developer,Capgemini,Bangalore,"Looking for a candidate with experience in NLP, Docker, Python, Java, Node.js, Machine Learning.","NLP, Docker, Python, Java, Node.js, Machine Learning",2023-12-03
Cloud Engineer,Adobe,Chennai,"Looking for a candidate with experience in Node.js, PyTorch, NumPy, Java.","Node.js, PyTorch, NumPy, Java",2024-05-26
Software Engineer,Oracle,Delhi,"Looking for a candidate with experience in Deep Learning, Spark, Tableau, Node.js, NLP.","Deep Learning, Spark, Tableau, Node.js, NLP",2024-11-22
Full Stack Developer,Adobe,Pune,"Looking for a candidate with experience in PyTorch, Java, NLP, Deep Learning, React, Node.js, Hadoop.","PyTorch, Java, NLP, Deep Learning, React, Node.js, Hadoop",2023-11-29
Full Stack Developer,Capgemini,Mumbai,"Looking for a candidate with experience in Hadoop, AWS, Spark, TensorFlow.","Hadoop, AWS, Spark, TensorFlow",2024-01-14
DevOps Engineer,Adobe,Pune,"Looking for a candidate with experience in Tableau, TensorFlow, Power BI, Python, Docker, React.","Tableau, TensorFlow, Power BI, Python, Docker, React",2024-10-19
Data Analyst,Capgemini,Pune,"Looking for a candidate with experience in Hadoop, Spark, Power BI, Deep Learning.","Hadoop, Spark, Power BI, Deep Learning",2024-03-03
Data Scientist,Microsoft,Delhi,"Looking for a candidate with experience in Pandas, Spark, AWS, Docker, NLP.","Pandas, Spark, AWS, Docker, NLP",2023-03-07
Backend Developer,Amazon,Delhi,"Looking for a candidate with experience in React, Machine Learning, Java, SQL, Hadoop, Scikit-learn, TensorFlow.","React, Machine Learning, Java, SQL, Hadoop, Scikit-learn, TensorFlow",2023-04-16
DevOps Engineer,Capgemini,Hyderabad,"Looking for a candidate with experience in Kubernetes, TensorFlow, Docker, Scikit-learn.","Kubernetes, TensorFlow, Docker, Scikit-learn",2024-02-05
Full Stack Developer,Microsoft,Bangalore,"Looking for a candidate with experience in Tableau, Node.js, Docker, TensorFlow.","Tableau, Node.js, Docker, TensorFlow",2023-12-26
NLP Engineer,Infosys,Pune,"Looking for a candidate with experience in TensorFlow, Tableau, AWS, Kubernetes, SQL, PyTorch, Java.","TensorFlow, Tableau, AWS, Kubernetes, SQL, PyTorch, Java",2023-04-07
DevOps Engineer,Meta,Pune,"Looking for a candidate with experience in Pandas, Kubernetes, Scikit-learn, Power BI.","Pandas, Kubernetes, Scikit-learn, Power BI",2023-10-13
Backend Developer,Google,Chennai,"Looking for a candidate with experience in Hadoop, Kubernetes, Machine Learning, Java, Pandas, Scikit-learn.","Hadoop, Kubernetes, Machine Learning, Java, Pandas, Scikit-learn",2023-10-18
Cloud Engineer,Meta,Hyderabad,"Looking for a candidate with experience in Python, TensorFlow, NLP, Tableau, Hadoop, Kubernetes.","Python, TensorFlow, NLP, Tableau, Hadoop, Kubernetes",2024-11-28
Machine Learning Engineer,Meta,Mumbai,"Looking for a candidate with experience in Node.js, Scikit-learn, SQL, React, Hadoop.","Node.js, Scikit-learn, SQL, React, Hadoop",2023-01-07
Software Engineer,Flipkart,Chennai,"Looking for a candidate with experience in NLP, Java, Spark, TensorFlow, Deep Learning, Hadoop.","NLP, Java, Spark, TensorFlow, Deep Learning, Hadoop",2024-04-21
Data Analyst,TCS,Pune,"Looking for a candidate with experience in Pandas, AWS, Python, Power BI, Spark, Deep Learning, Node.js.","Pandas, AWS, Python, Power BI, Spark, Deep Learning, Node.js",2024-02-16
Backend Developer,Amazon,Bangalore,"Looking for a candidate with experience in Power BI, NLP, AWS, Hadoop, Tableau.","Power BI, NLP, AWS, Hadoop, Tableau",2024-09-22
Cloud Engineer,Adobe,Bangalore,"Looking for a candidate with experience in Python, Machine Learning, React, Pandas, Node.js, TensorFlow, NLP.","Python, Machine Learning, React, Pandas, Node.js, TensorFlow, NLP",2024-03-02
AI Engineer,IBM,Mumbai,"Looking for a candidate with experience in Spark, SQL, NumPy, React, Deep Learning, Pandas.","Spark, SQL, NumPy, React, Deep Learning, Pandas",2024-06-01
Software Engineer,Amazon,Pune,"Looking for a candidate with experience in Tableau, TensorFlow, Node.js, Docker.","Tableau, TensorFlow, Node.js, Docker",2024-05-05
Software Engineer,TCS,Bangalore,"Looking for a candidate with experience in Tableau, Deep Learning, SQL, Java, NumPy.","Tableau, Deep Learning, SQL, Java, NumPy",2023-09-23
Data Analyst,Infosys,Pune,"Looking for a candidate with experience in React, Python, NLP, TensorFlow, Node.js, NumPy.","React, Python, NLP, TensorFlow, Node.js, NumPy",2023-03-23
Cloud Engineer,Meta,Bangalore,"Looking for a candidate with experience in AWS, Docker, Tableau, TensorFlow, Machine Learning.","AWS, Docker, Tableau, TensorFlow, Machine Learning",2023-08-28
Full Stack Developer,Oracle,Pune,"Looking for a candidate with experience in Node.js, PyTorch, TensorFlow, Scikit-learn.","Node.js, PyTorch, TensorFlow, Scikit-learn",2023-05-29
NLP Engineer,TCS,Hyderabad,"Looking for a candidate with experience in Machine Learning, Docker, React, Hadoop, AWS, Power BI.","Machine Learning, Docker, React, Hadoop, AWS, Power BI",2023-05-22
NLP Engineer,Accenture,Mumbai,"Looking for a candidate with experience in Hadoop, SQL, Spark, Pandas.","Hadoop, SQL, Spark, Pandas",2023-10-04
Backend Developer,Google,Hyderabad,"Looking for a candidate with experience in Tableau, Python, Hadoop, React, Java, Pandas, Spark.","Tableau, Python, Hadoop, React, Java, Pandas, Spark",2023-07-27
Machine Learning Engineer,Google,Chennai,"Looking for a candidate with experience in NLP, AWS, Power BI, TensorFlow.","NLP, AWS, Power BI, TensorFlow",2023-10-04
Data Analyst,Capgemini,Chennai,"Looking for a candidate with experience in Python, Scikit-learn, Spark, TensorFlow, NLP, NumPy.","Python, Scikit-learn, Spark, TensorFlow, NLP, NumPy",2024-10-25
Data Analyst,IBM,Bangalore,"Looking for a candidate with experience in Power BI, SQL, Pandas, Hadoop, TensorFlow.","Power BI, SQL, Pandas, Hadoop, TensorFlow",2023-04-03
Backend Developer,Accenture,Pune,"Looking for a candidate with experience in Machine Learning, Kubernetes, PyTorch, NLP, Java, TensorFlow, Hadoop.","Machine Learning, Kubernetes, PyTorch, NLP, Java, TensorFlow, Hadoop",2023-11-19
Full Stack Developer,TCS,Mumbai,"Looking for a candidate with experience in NumPy, Kubernetes, Scikit-learn, React.","NumPy, Kubernetes, Scikit-learn, React",2023-08-01
AI Engineer,TCS,Bangalore,"Looking for a candidate with experience in Java, SQL, Tableau, AWS, Scikit-learn, Hadoop, Docker.","Java, SQL, Tableau, AWS, Scikit-learn, Hadoop, Docker",2023-09-29
Full Stack Developer,Adobe,Pune,"Looking for a candidate with experience in Docker, Deep Learning, Pandas, Machine Learning.","Docker, Deep Learning, Pandas, Machine Learning",2024-07-27
NLP Engineer,Adobe,Chennai,"Looking for a candidate with experience in SQL, Deep Learning, Machine Learning, PyTorch, Spark, Pandas, Docker.","SQL, Deep Learning, Machine Learning, PyTorch, Spark, Pandas, Docker",2024-01-06
Software Engineer,Microsoft,Delhi,"Looking for a candidate with experience in AWS, Kubernetes, Node.js, Java, Machine Learning.","AWS, Kubernetes, Node.js, Java, Machine Learning",2024-07-24
Machine Learning Engineer,Google,Mumbai,"Looking for a candidate with experience in Scikit-learn, SQL, Kubernetes, NLP, Docker.","Scikit-learn, SQL, Kubernetes, NLP, Docker",2023-11-04
Data Analyst,Capgemini,Chennai,"Looking for a candidate with experience in Scikit-learn, SQL, NumPy, TensorFlow, Hadoop.","Scikit-learn, SQL, NumPy, TensorFlow, Hadoop",2024-11-15
Data Scientist,Meta,Mumbai,"Looking for a candidate with experience in Java, TensorFlow, NumPy, Spark, Python, PyTorch.","Java, TensorFlow, NumPy, Spark, Python, PyTorch",2023-03-10
DevOps Engineer,Adobe,Bangalore,"Looking for a candidate with experience in Node.js, Tableau, NumPy, Machine Learning, SQL, NLP.","Node.js, Tableau, NumPy, Machine Learning, SQL, NLP",2024-05-27
DevOps Engineer,Flipkart,Bangalore,"Looking for a candidate with experience in TensorFlow, Node.js, PyTorch, Scikit-learn, Python, Deep Learning, Power BI.","TensorFlow, Node.js, PyTorch, Scikit-learn, Python, Deep Learning, Power BI",2023-02-26
Machine Learning Engineer,Flipkart,Bangalore,"Looking for a candidate with experience in Power BI, React, Tableau, Spark, NLP, Kubernetes, Machine Learning.","Power BI, React, Tableau, Spark, NLP, Kubernetes, Machine Learning",2023-03-28
AI Engineer,TCS,Chennai,"Looking for a candidate with experience in Machine Learning, NLP, AWS, Deep Learning, Spark, Scikit-learn, Node.js.","Machine Learning, NLP, AWS, Deep Learning, Spark, Scikit-learn, Node.js",2023-12-19
AI Engineer,Adobe,Mumbai,"Looking for a candidate with experience in Scikit-learn, Power BI, Deep Learning, PyTorch, Python.","Scikit-learn, Power BI, Deep Learning, PyTorch, Python",2023-06-30
Data Scientist,Adobe,Delhi,"Looking for a candidate with experience in Scikit-learn, Hadoop, Deep Learning, Power BI.","Scikit-learn, Hadoop, Deep Learning, Power BI",2024-07-22
Backend Developer,IBM,Chennai,"Looking for a candidate with experience in TensorFlow, NumPy, AWS, Pandas, Tableau.","TensorFlow, NumPy, AWS, Pandas, Tableau",2024-04-21
NLP Engineer,Infosys,Chennai,"Looking for a candidate with experience in Docker, NLP, PyTorch, Pandas.","Docker, NLP, PyTorch, Pandas",2024-11-18
Full Stack Developer,Capgemini,Mumbai,"Looking for a candidate with experience in Kubernetes, Python, Tableau, Machine Learning, Hadoop, Scikit-learn, Docker.","Kubernetes, Python, Tableau, Machine Learning, Hadoop, Scikit-learn, Docker",2024-11-12
AI Engineer,Adobe,Pune,"Looking for a candidate with experience in TensorFlow, Kubernetes, Hadoop, Power BI, NLP, Node.js, Spark.","TensorFlow, Kubernetes, Hadoop, Power BI, NLP, Node.js, Spark",2024-10-09
Machine Learning Engineer,TCS,Hyderabad,"Looking for a candidate with experience in NLP, Python, Pandas, Deep Learning.","NLP, Python, Pandas, Deep Learning",2024-08-24
AI Engineer,Oracle,Bangalore,"Looking for a candidate with experience in Power BI, Hadoop, PyTorch, React, TensorFlow, SQL.","Power BI, Hadoop, PyTorch, React, TensorFlow, SQL",2023-06-16
NLP Engineer,TCS,Chennai,"Looking for a candidate with experience in Spark, PyTorch, TensorFlow, Tableau, Scikit-learn.","Spark, PyTorch, TensorFlow, Tableau, Scikit-learn",2024-03-10
AI Engineer,Flipkart,Hyderabad,"Looking for a candidate with experience in React, Scikit-learn, NumPy, PyTorch.","React, Scikit-learn, NumPy, PyTorch",2024-03-07
Data Scientist,Infosys,Delhi,"Looking for a candidate with experience in NLP, Kubernetes, Docker, Machine Learning, React, Scikit-learn.","NLP, Kubernetes, Docker, Machine Learning, React, Scikit-learn",2024-07-10
Data Scientist,Microsoft,Mumbai,"Looking for a candidate with experience in Power BI, Node.js, Docker, TensorFlow, Kubernetes, React, PyTorch.","Power BI, Node.js, Docker, TensorFlow, Kubernetes, React, PyTorch",2024-01-17
AI Engineer,Oracle,Mumbai,"Looking for a candidate with experience in Node.js, Docker, TensorFlow, NLP, AWS.","Node.js, Docker, TensorFlow, NLP, AWS",2024-04-29
DevOps Engineer,Microsoft,Delhi,"Looking for a candidate with experience in React, TensorFlow, Python, Hadoop, Docker.","React, TensorFlow, Python, Hadoop, Docker",2024-05-21
Full Stack Developer,Meta,Mumbai,"Looking for a candidate with experience in React, Java, Kubernetes, AWS.","React, Java, Kubernetes, AWS",2024-09-17
Machine Learning Engineer,Meta,Delhi,"Looking for a candidate with experience in Scikit-learn, React, PyTorch, Tableau.","Scikit-learn, React, PyTorch, Tableau",2023-05-15
NLP Engineer,Accenture,Delhi,"Looking for a candidate with experience in NumPy, Tableau, Kubernetes, Python, Machine Learning, Scikit-learn.","NumPy, Tableau, Kubernetes, Python, Machine Learning, Scikit-learn",2024-05-30
DevOps Engineer,IBM,Bangalore,"Looking for a candidate with experience in SQL, Power BI, Tableau, Node.js, NLP.","SQL, Power BI, Tableau, Node.js, NLP",2024-05-23
Backend Developer,Oracle,Hyderabad,"Looking for a candidate with experience in Docker, Deep Learning, SQL, Node.js, Spark, AWS, React.","Docker, Deep Learning, SQL, Node.js, Spark, AWS, React",2024-01-11
NLP Engineer,Infosys,Delhi,"Looking for a candidate with experience in SQL, Tableau, AWS, Deep Learning.","SQL, Tableau, AWS, Deep Learning",2023-07-15
Software Engineer,Google,Delhi,"Looking for a candidate with experience in Scikit-learn, SQL, Hadoop, Java, Python, Machine Learning.","Scikit-learn, SQL, Hadoop, Java, Python, Machine Learning",2023-03-06
NLP Engineer,Oracle,Hyderabad,"Looking for a candidate with experience in NLP, Machine Learning, Hadoop, Pandas, Docker, AWS, Tableau.","NLP, Machine Learning, Hadoop, Pandas, Docker, AWS, Tableau",2024-06-21
Full Stack Developer,Meta,Bangalore,"Looking for a candidate with experience in Machine Learning, NumPy, Pandas, Kubernetes, Hadoop.","Machine Learning, NumPy, Pandas, Kubernetes, Hadoop",2023-02-23
